prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,intdrug
31676,70325001000027104,56932020,133,Diltiazem HCl 120mg Modified-release tablet (Actavis UK Ltd),Diltiazem hydrochloride,120mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
1298,38750211000001104,65403020,347791,Verapamil 240mg modified-release tablets,Verapamil hydrochloride,240mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
27685,129475001000027100,65095020,191,Diltiazem HCl 300mg Capsule (PLIVA Pharma Ltd),Diltiazem hydrochloride,300mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
78782,246495001000027100,92801020,438,Ketoconazole Oral solution,Ketoconazole,,Oral Solution,,05020000,Antifungals,November 2019,1
11972,675611000001104,86724020,53960,Vertab SR 240 tablets (Chiesi Ltd),Verapamil hydrochloride,240mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
8467,284011000001104,54867020,43041,Marevan 3mg tablets (Advanz Pharma),Warfarin sodium,3mg,Tablet,Oral,02080200,Oral Anticoagulants,February 2009,1
42661,9795911000001100,71484020,63,Erythromycin 250mg gastro-resistant tablets (Almus Pharmaceuticals Ltd),Erythromycin,250mg,Gastro-resistant tablet,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,June 2010,1
83462,19569411000001108,73064020,0,Colchicine 500microgram tablets (RPH Pharmaceuticals AB),Colchicine,500microgram,Tablet,Oral,10010450,Acute Attacks Of Gout,April 2021,1
21795,865711000001107,50256020,938,Retalzem 60 modified-release tablets (Kent Pharma (UK) Ltd),Diltiazem hydrochloride,60mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
39171,540011000001107,95543020,496,Bi-Carzem SR 60mg capsules (Tillomed Laboratories Ltd),Diltiazem hydrochloride,60mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,April 2009,1
80965,26195001000027100,51282020,1,Erythromycin 500mg Tablet (Berk Pharmaceuticals Ltd),Erythromycin,500mg,Tablet,,05010500/13060201,Macrolides/Oral Antibacterials For Acne,June 2020,1
70758,21635611000001100,46675020,5,Darunavir 100mg/ml oral suspension sugar free,Darunavir ethanolate,100mg/1ml,Oral suspension,Oral,05030151,Protease Inhibitors,November 2017,1
84198,38716611000001104,94045021,1,Fostamatinib 150mg tablets,Fostamatinib disodium hexahydrate,150mg,Tablet,Oral,02110000,Antifibrinolytic Products And Haemostatics,July 2021,1
46637,17666911000001104,99168020,477,Capimune 25mg capsules (Viatris UK Healthcare Ltd),Ciclosporin,25mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,January 2012,1
8082,319964008,62909020,44463,Gemfibrozil 600mg tablets,Gemfibrozil,600mg,Tablet,Oral,02120300,Fibrates,February 2009,1
19459,4579511000001103,51963020,270,Verapamil 240mg modified-release tablets (A A H Pharmaceuticals Ltd),Verapamil hydrochloride,240mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
1217,168615001000027100,70564020,18935,Lipantil micro 200 200mg Capsule (Fournier Pharmaceuticals Ltd),Fenofibrate micronised,200mg,Capsule,Oral,02120300,Fibrates,February 2009,1
26460,199365001000027100,75964020,43,Dilcardia xl 240mg Modified-release capsule (Generics (UK) Ltd),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
4071,787611000001105,68924020,2623,Diflucan 200mg capsules (Pfizer Ltd),Fluconazole,200mg,Capsule,Oral,05020100,Triazole Antifungals,February 2009,1
77380,14317811000001100,06194020,169,Diflucan 150mg capsules (Sigma Pharmaceuticals Plc),Fluconazole,150mg,Capsule,Oral,05020100,Triazole Antifungals,August 2019,1
72574,33494611000001104,70596021,0,Aprepitant 125mg oral powder sachets,Aprepitant,125mg,Powder,Oral,04065700,Products Used Against Nausea And Vertigo - Neurokinin Receptor Antagonist,July 2018,1
1072,40235001000027104,53068020,45279,Erythrocin 500 500mg Tablet (Abbott Laboratories Ltd),Erythromycin stearate,500mg,Tablet,Oral,05010500,Macrolides,February 2009,1
17813,61415001000027104,55691020,937,Nicotinic acid 100mg Tablet,Nicotinic Acid,100mg,Tablet,Oral,02120500,Nicotinic Acid Group,February 2009,1
34307,4333111000001105,65735020,3,Fluconazole 50mg capsules (A A H Pharmaceuticals Ltd),Fluconazole,50mg,Capsule,Oral,05020100,Triazole Antifungals,February 2009,1
65280,18470411000001104,99986020,4,Dasatinib 80mg tablets,Dasatinib monohydrate,80mg,Tablet,Oral,08010551,Protein Kinase Inhibitors,January 2016,1
7445,94725001000027100,60111020,43,Amiodarone 50mg/ml injection,Amiodarone Hydrochloride,50mg/ml,Injection,,02030201,Supraventricular & Ventricular Arrhythmias,February 2009,1
63458,17903011000001104,05858020,0,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (Phoenix Healthcare Distribution Ltd),Erythromycin ethyl succinate,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,June 2015,1
9708,197575001000027100,75520020,64975,Diltiazem 24hr 120mg modified-release capsules,Diltiazem Hydrochloride,120mg,24 Hour Modified Release Capsules,Oral,02060200,Calcium-Channel Blockers,February 2009,1
11820,237315001000027100,87646020,4242,Clotrimazole 2% cream with Fluconazole 150mg capsules,Fluconazole/Clotrimazole,2% + 150mg,Cream And Capsules,,05020000/07020200,Antifungals/Vaginal And Vulval Infections,February 2009,1
6309,71095001000027104,57068020,157949,Adizem xl 300mg Capsule (Napp Pharmaceuticals Ltd),Diltiazem hydrochloride,300mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
44887,233545001000027100,86212020,3,Bi-carzem xl 300mg Capsule (Tillomed Laboratories Ltd),Diltiazem hydrochloride,300mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,March 2011,1
62143,23903311000001104,21396021,0,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (DE Pharmaceuticals),Erythromycin ethyl succinate,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,January 2015,1
41635,544111000001104,53801020,140,Diltiazem 60mg modified-release tablets (IVAX Pharmaceuticals UK Ltd),Diltiazem hydrochloride,60mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,March 2010,1
66087,16556711000001104,02568020,189,Modalim 100mg tablets (Mawdsley-Brooks & Company Ltd),Ciprofibrate,100mg,Tablet,Oral,02120300,Fibrates,May 2016,1
17425,105211000001107,84733020,63033,Zemtard 120 XL capsules (Galen Ltd),Diltiazem hydrochloride,120mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
17642,62411000001105,76405020,5534,Arava 20mg tablets (Sanofi),Leflunomide,20mg,Tablet,Oral,10010302,Drugs Affecting The Immune Response In Rheumatic Disease,February 2009,1
65083,30174111000001100,54176021,2771,Synjardy 5mg/1000mg tablets (Boehringer Ingelheim Ltd),Metformin hydrochloride/Empagliflozin,1gram + 5mg,Tablet,Oral,06010210,Gliflozins Plus Metformin,December 2015,1
85704,39815111000001104,98760021,3,Harvoni 45mg/200mg tablets (Gilead Sciences Ltd),Sofosbuvir/Ledipasvir,200mg + 45mg,Tablet,Oral,05030302,Chronic Hepatitis C,March 2022,1
4635,39023411000001104,72177020,144359,Diltiazem 200mg modified-release capsules,Diltiazem hydrochloride,200mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
14511,160725001000027100,69488020,154,Erymax sprinkle 125mg Capsule (Elan Pharma),Erythromycin,125mg,Capsule,Oral,05010500,Macrolides,February 2009,1
41990,180555001000027100,72388020,357,Multivitamins with minerals Tablet,Pantothenic Acid/Ascorbic Acid/Calcium/Folic Acid/Iron/Nicotinic Acid/Riboflavin/Pyridoxine/Alpha Tocopherol/Vitamin A/Vitamin D/Thiamine/Vitamin B12,,Tablet,Oral,09060750,-,April 2010,1
58635,13836411000001108,02410020,0,Bezalip Mono 400mg modified-release tablets (DE Pharmaceuticals),Bezafibrate,400mg,Modified-release tablet,Oral,02120300,Fibrates,January 2014,1
34959,413611000001109,50799020,7,Verapamil 40mg tablets (A A H Pharmaceuticals Ltd),Verapamil hydrochloride,40mg,Tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
1966,41792211000001104,71159020,8495,Miconazole 100mg pessaries,Miconazole nitrate,100mg,Pessary,Vaginal,00000000,Unknown,February 2009,1
83020,38931511000001110,95134021,1473,Bempedoic acid 180mg tablets,Bempedoic acid,180mg,Tablet,Oral,02120700,Other Lipid-Regulating Products,February 2021,1
47846,4144011000001102,65720020,1,Fluconazole 200mg capsules (Zentiva Pharma UK Ltd),Fluconazole,200mg,Capsule,Oral,05020100,Triazole Antifungals,September 2012,1
42449,16306911000001100,97776020,584,Deximune 100mg capsules (Dexcel-Pharma Ltd),Ciclosporin,100mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,May 2010,1
4610,40345001000027104,53079020,4871,Erythroped forte 500mg/5ml Oral suspension (Abbott Laboratories Ltd),Erythromycin ethyl succinate,100mg/1ml,Oral suspension,Oral,05010500,Macrolides,February 2009,1
6623,463111000001102,69358020,16913,Klaricid 500 tablets (Abbott Laboratories Ltd),Clarithromycin,500mg,Tablet,Oral,05010500,Macrolides,February 2009,1
24127,766711000001101,49640020,1820,Erythromycin 250mg gastro-resistant tablets (A A H Pharmaceuticals Ltd),Erythromycin,250mg,Gastro-resistant tablet,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,February 2009,1
34811,9042311000001100,69944020,93,Clarithromycin 250mg/5ml oral suspension (Ranbaxy (UK) Ltd),Clarithromycin,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,February 2009,1
66728,27946711000001104,40585021,4,Idelalisib 100mg tablets,Idelalisib,100mg,Tablet,Oral,08010500,Other Antineoplastic Drugs,July 2016,1
74022,5426711000001102,01899020,105,Tildiem LA 200 capsules (Waymade Healthcare Plc),Diltiazem hydrochloride,200mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,December 2018,1
13501,54585001000027104,54849020,1993,Dindevan 50mg Tablet (Goldshield Pharmaceuticals Ltd),Phenindione,50mg,Tablet,Oral,02080200,Oral Anticoagulants,February 2009,1
59441,23902711000001104,21399021,3,Erythromycin ethyl succinate 125mg/5ml oral suspension (DE Pharmaceuticals),Erythromycin ethyl succinate,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,April 2014,1
55577,18067311000001104,02314020,0,Sinthrome 1mg tablets (Lexon (UK) Ltd),Acenocoumarol,1mg,Tablet,Oral,02080200,Oral Anticoagulants,June 2013,1
86454,38889811000001104,94816021,0,Erythromycin 250mg gastro-resistant tablets (Medihealth (Northern) Ltd),Erythromycin,250mg,Gastro-resistant tablet,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,July 2022,1
77454,17075511000001108,98428020,3,Revolade 25mg tablets (Novartis Pharmaceuticals UK Ltd),Eltrombopag olamine,25mg,Tablet,Oral,09010400,Drugs Used In Platelet Disorders,August 2019,1
55116,21835711000001104,46808020,23,Ciclosporin 25mg capsules (Cubic Pharmaceuticals Ltd),Ciclosporin,25mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,May 2013,1
77830,18456811000001104,00841020,0,Amiodarone 200mg tablets (Accord-UK Ltd),Amiodarone hydrochloride,200mg,Tablet,Oral,02030201,Supraventricular & Ventricular Arrhythmias,August 2019,1
66564,23646011000001108,21351021,0,Bezafibrate 400mg modified-release tablets (Phoenix Healthcare Distribution Ltd),Bezafibrate,400mg,Modified-release tablet,Oral,02120300,Fibrates,June 2016,1
36717,39693211000001104,88197020,10,Fosamprenavir 700mg tablets,Fosamprenavir calcium,700mg,Tablet,Oral,05030151,Protease Inhibitors,February 2009,1
39642,178911000001100,96640020,1471,Erythroped Forte SF 500mg/5ml oral suspension (Advanz Pharma),Erythromycin ethyl succinate,100mg/1ml,Oral suspension,Oral,05010500,Macrolides,May 2009,1
50091,18056211000001108,06182020,1,Diflucan 50mg capsules (Lexon (UK) Ltd),Fluconazole,50mg,Capsule,Oral,05020100,Triazole Antifungals,January 2013,1
62065,24117911000001100,23040021,29,Diltiazem 90mg modified-release tablets (Colorama Pharmaceuticals Ltd),Diltiazem hydrochloride,90mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,January 2015,1
84208,37171911000001110,87661021,1,Nilotinib 50mg capsules,Nilotinib hydrochloride monohydrate,50mg,Capsule,Oral,08010551,Protein Kinase Inhibitors,July 2021,1
71212,22088011000001104,14687021,2,Generic Stribild 150mg/150mg/200mg/245mg tablets,Elvitegravir/Emtricitabine/Cobicistat/Tenofovir disoproxil fumarate,150mg + 200mg + 150mg + 245mg,Tablet,Oral,05030150,Nucleoside Reverse Transcriptase Inhibitors,January 2018,1
39669,108811000001104,96638020,8910,Erythroped SF 250mg/5ml oral suspension (Advanz Pharma),Erythromycin ethyl succinate,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,June 2009,1
72126,30761711000001104,57354021,0,Clarithromycin 125mg/5ml oral suspension (Almus Pharmaceuticals Ltd),Clarithromycin,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,May 2018,1
33703,89511000001103,55311020,961,Erythromycin 250mg gastro-resistant tablets (Abbott Laboratories Ltd),Erythromycin,250mg,Gastro-resistant tablet,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,February 2009,1
25280,165611000001108,80615020,111,Tiloryth 250mg gastro-resistant capsules (Tillomed Laboratories Ltd),Erythromycin,250mg,Gastro-resistant capsule,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,February 2009,1
80372,30125811000001108,53524021,0,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (Mawdsley-Brooks & Company Ltd),Erythromycin ethyl succinate,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,April 2020,1
39118,222495001000027100,83250020,9,Primacine 250mg/5ml Liquid (Pinewood Healthcare),Erythromycin ethyl succinate,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,April 2009,1
47283,16246211000001104,97341020,17,Darunavir 75mg tablets,Darunavir ethanolate,75mg,Tablet,Oral,05030151,Protease Inhibitors,May 2012,1
76985,16036711000001108,36777020,5,Nicotinic acid 50mg capsules,Nicotinic acid,50mg,Capsule,Oral,02120500,Nicotinic Acid Group,July 2019,1
68820,33620011000001108,71394021,13,Sofosbuvir 400mg / Velpatasvir 100mg tablets,Velpatasvir/Sofosbuvir,100mg + 400mg,Tablet,Oral,05030302,Chronic Hepatitis C,February 2017,1
61,319734006,65438020,7708079,Warfarin 3mg tablets,Warfarin sodium,3mg,Tablet,Oral,02080200,Oral Anticoagulants,February 2009,1
21778,391911000001107,54633020,227,Diltiazem 60mg modified-release tablets (Teva UK Ltd),Diltiazem hydrochloride,60mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
7540,2957911000001102,86196020,24357,Lipantil Micro 267 capsules (Viatris UK Healthcare Ltd),Fenofibrate micronised,267mg,Capsule,Oral,02120300,Fibrates,February 2009,1
77593,8274511000001108,18927020,33,Amiodarone 200mg/5ml oral solution,Amiodarone hydrochloride,40mg/1ml,Oral solution,Oral,02030201,Supraventricular & Ventricular Arrhythmias,August 2019,1
13965,740811000001102,71435020,2630,Cordilox MR 240mg tablets (Teva UK Ltd),Verapamil hydrochloride,240mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
88315,39495711000001104,97754021,0,Selpercatinib 40mg capsules,Selpercatinib,40mg,Capsule,Oral,08010551,Protein Kinase Inhibitors,June 2023,1
1836,39023811000001104,71948020,350025,Diltiazem 60mg modified-release tablets,Diltiazem hydrochloride,60mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
29229,39696011000001104,88278020,133,Imatinib 100mg tablets,Imatinib mesilate,100mg,Tablet,Oral,08010551,Protein Kinase Inhibitors,February 2009,1
52860,364011000001109,05856020,265,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd),Erythromycin ethyl succinate,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,January 2013,1
49609,155015001000027100,68507020,22,Bezafibrate 400mg Modified-release tablet (Sandoz Ltd),Bezafibrate,400mg,Modified-release tablet,Oral,02120300,Fibrates,January 2013,1
39712,15000811000001106,96401020,98355,Ranolazine 375mg modified-release tablets,Ranolazine,375mg,Modified-release tablet,Oral,02060300,Other Anti-Angina Products,June 2009,1
66780,32234211000001100,65934021,47,Fenofibrate 145mg / Simvastatin 20mg tablets,Simvastatin/Fenofibrate,20mg + 145mg,Tablet,Oral,02120300/02120400,Fibrates/Statins,July 2016,1
1215,168635001000027100,70567020,6533,Fenofibrate 100mg Capsule,Fenofibrate,100mg,Capsule,Oral,02120300,Fibrates,February 2009,1
39623,294211000001105,96642020,8342,Erythroped PI SF 125mg/5ml oral suspension (Advanz Pharma),Erythromycin ethyl succinate,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,May 2009,1
68591,395111000001106,02308020,0,Warfarin 500microgram tablets (Alliance Healthcare (Distribution) Ltd),Warfarin sodium,500microgram,Tablet,Oral,02080200,Oral Anticoagulants,January 2017,1
26759,721811000001108,80908020,38,Zildil SR 60mg capsules (Healthcare Pharma Ltd),Diltiazem hydrochloride,60mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
28800,7319811000001103,87710020,122,Glivec 400mg tablets (Novartis Pharmaceuticals UK Ltd),Imatinib mesilate,400mg,Tablet,Oral,08010551,Protein Kinase Inhibitors,February 2009,1
73932,34848611000001104,78708021,12,Symtuza 800mg/150mg/200mg/10mg tablets (Janssen-Cilag Ltd),Tenofovir alafenamide fumarate/Emtricitabine/Darunavir ethanolate/Cobicistat,10mg + 200mg + 800mg + 150mg,Tablet,Oral,05030100,HIV Infection,December 2018,1
69119,17075211000001104,98430020,2,Revolade 50mg tablets (Novartis Pharmaceuticals UK Ltd),Eltrombopag olamine,50mg,Tablet,Oral,09010400,Drugs Used In Platelet Disorders,April 2017,1
3343,846611000001102,56683020,187034,Half Securon SR 120mg tablets (Viatris UK Healthcare Ltd),Verapamil hydrochloride,120mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
83047,41760811000001104,45050020,1,Crizotinib 250mg capsules,Crizotinib,250mg,Capsule,Oral,08010551,Protein Kinase Inhibitors,February 2021,1
69022,32930811000001104,69936021,8,Ritonavir 100mg oral powder sachets sugar free,Ritonavir,100mg,Powder,Oral,05030151,Protease Inhibitors,March 2017,1
39009,454211000001101,54550020,871,Verapamil 40mg tablets (Teva UK Ltd),Verapamil hydrochloride,40mg,Tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
46676,9842111000001102,72229020,1,Itraconazole 100mg capsules (Viatris UK Healthcare Ltd),Itraconazole,100mg,Capsule,Oral,05020100,Triazole Antifungals,January 2012,1
54799,17465311000001100,01878020,1,Tildiem LA 300 capsules (Mawdsley-Brooks & Company Ltd),Diltiazem hydrochloride,300mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,April 2013,1
62912,28405011000001104,44230021,43,Diltiazem 120mg modified-release capsules (AM Distributions (Yorkshire) Ltd),Diltiazem hydrochloride,120mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,April 2015,1
64984,23916211000001108,21748021,0,Fenofibrate micronised 160mg tablets (Phoenix Healthcare Distribution Ltd),Fenofibrate micronised,160mg,Tablet,Oral,02120300,Fibrates,December 2015,1
52276,19872011000001104,39293020,3,Adizem-XL 180mg capsules (DE Pharmaceuticals),Diltiazem hydrochloride,180mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,January 2013,1
41584,46245001000027110,53835020,220,Erythromycin 250mg/5ml Liquid (IVAX Pharmaceuticals UK Ltd),Erythromycin ethyl succinate,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,March 2010,1
2226,41949211000001104,60844020,15296,Erythromycin ethyl succinate 500mg/5ml oral suspension,Erythromycin ethyl succinate,100mg/1ml,Oral suspension,Oral,05010500,Macrolides,February 2009,1
73467,87665001000027100,59099020,28,Verapamil hc 80mg Tablet (Ranbaxy (UK) Ltd),Verapamil hydrochloride,80mg,Tablet,Oral,02030202/02060200,Supraventricular Arrhythmias/Calcium-Channel Blockers,October 2018,1
31428,90655001000027100,59504020,2,Retcin 250mg Tablet (DDSA Pharmaceuticals Ltd),Erythromycin,250mg,Gastro-resistant tablet,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,February 2009,1
45240,133715001000027100,65628020,13,Fluconazole 150mg Capsule (Niche Generics Ltd),Fluconazole,150mg,Capsule,Oral,05020000/12030200,Antifungals/Oropharyngeal Anti-Infective Drugs,May 2011,1
39632,580811000001109,96636020,16187,Erythroped A 500mg tablets (Advanz Pharma),Erythromycin ethyl succinate,500mg,Tablet,Oral,05010500,Macrolides,May 2009,1
23954,82275001000027100,58444020,7,Erythrolar 500mg Tablet (Lagap),Erythromycin stearate,500mg,Tablet,Oral,05010500,Macrolides,February 2009,1
36583,215645001000027100,81080020,2,Zemret xl 180mg Capsule (Neo Laboratories Ltd),Diltiazem Hydrochloride,180mg,Capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
6262,319736008,84736020,1032700,Warfarin 500microgram tablets,Warfarin sodium,500microgram,Tablet,Oral,02080200,Oral Anticoagulants,February 2009,1
39298,764511000001100,95545020,475,Bi-Carzem SR 90mg capsules (Tillomed Laboratories Ltd),Diltiazem hydrochloride,90mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,April 2009,1
70068,24504611000001108,26646021,15,Aubagio 14mg tablets (Sanofi),Teriflunomide,14mg,Tablet,Oral,08020400,Other Immunomodulating Drugs,September 2017,1
77559,91005001000027100,59542020,85,Warfarin 5mg Tablet (Lagap),Warfarin sodium,5mg,Tablet,Oral,02080200,Oral Anticoagulants,August 2019,1
27706,4690111000001104,80613020,6,Kaletra 80mg/20mg/1ml oral solution (AbbVie Ltd),Lopinavir/Ritonavir,80mg/1ml + 20mg/1ml,Oral solution,Oral,05030151,Protease Inhibitors,February 2009,1
16137,303511000001103,79479020,9695,Neoral 10mg capsules (Novartis Pharmaceuticals UK Ltd),Ciclosporin,10mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,February 2009,1
788,165411000001105,68922020,45666,Diflucan 50mg capsules (Pfizer Ltd),Fluconazole,50mg,Capsule,Oral,05020100,Triazole Antifungals,February 2009,1
49301,17627611000001108,05851020,165,Erythrolar 500mg tablets (Ennogen Pharma Ltd),Erythromycin stearate,500mg,Tablet,Oral,05010500,Macrolides,January 2013,1
48288,18311611000001108,01886020,1343,Diltiazem 120mg modified-release capsules (A A H Pharmaceuticals Ltd),Diltiazem hydrochloride,120mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,January 2013,1
76919,23647911000001104,21352021,0,Ciprofibrate 100mg tablets (Phoenix Healthcare Distribution Ltd),Ciprofibrate,100mg,Tablet,Oral,02120300,Fibrates,July 2019,1
60949,8798811000001103,20948020,219,Warfarin 5mg/5ml oral suspension,Warfarin sodium,1mg/1ml,Oral suspension,Oral,02080200,Oral Anticoagulants,August 2014,1
64858,28337411000001104,43099021,93,Vanquoral 50mg capsules (Teva UK Ltd),Ciclosporin,50mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,December 2015,1
71853,23857611000001108,21433021,0,Colchicine 500microgram tablets (DE Pharmaceuticals),Colchicine,500microgram,Tablet,Oral,10010450,Acute Attacks Of Gout,April 2018,1
13167,682211000001102,49638020,346,Erythromycin ethyl succinate 125mg/5ml oral suspension (A A H Pharmaceuticals Ltd),Erythromycin ethyl succinate,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,February 2009,1
57502,15950911000001100,06170020,83,Daktarin 20mg/g oromucosal gel (Waymade Healthcare Plc),Miconazole,20mg/1gram,Oromucosal gel,Oromucosal/Oral,12030200,Oropharyngeal Anti-Infective Drugs,October 2013,1
41410,241375001000027100,89624020,23,"Vitamin a, c & d with 10 other vitamins & zinc (combination 1) drops",Pantothenic Acid/Biotin/Ascorbic Acid/Nicotinic Acid/Phytomenadione/Riboflavin/Pyridoxine/Alpha Tocopherol/Vitamin A/Zinc Sulphate/Colecalciferol/Beta Carotene/Thiamine/Vitamin B12,,Drops,Oral,09060750,-,March 2010,1
65602,23929211000001104,21726021,0,Adizem-XL 120mg capsules (Waymade Healthcare Plc),Diltiazem hydrochloride,120mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,March 2016,1
47242,12655001000027106,49628020,1,Erythromycin 250mg/5ml Liquid (C P Pharmaceuticals Ltd),Erythromycin ethyl succinate,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,May 2012,1
81639,838411000001100,56958020,2,Erythromycin ethyl succinate 125mg/5ml oral suspension (Actavis UK Ltd),Erythromycin ethyl succinate,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,September 2020,1
52701,18481911000001108,01902020,37,Tildiem LA 200 capsules (Mawdsley-Brooks & Company Ltd),Diltiazem hydrochloride,200mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,January 2013,1
87852,37225511000001104,88570021,1,Glyxambi 25mg/5mg tablets (Boehringer Ingelheim Ltd),Linagliptin/Empagliflozin,5mg + 25mg,Tablet,Oral,06010211,Gliflozins Plus Gliptins,March 2023,1
74825,5384511000001103,02440020,331,Lipantil Micro 200 capsules (Waymade Healthcare Plc),Fenofibrate micronised,200mg,Capsule,Oral,02120300,Fibrates,February 2019,1
84233,41789411000001104,09871020,1,Itraconazole 50mg/5ml oral solution,Itraconazole,10mg/1ml,Oral solution,Oral,05020100,Triazole Antifungals,July 2021,1
49134,20027611000001108,39866020,2,Sporanox 100mg capsules (Lexon (UK) Ltd),Itraconazole,100mg,Capsule,Oral,05020100,Triazole Antifungals,January 2013,1
80852,36392811000001104,82964021,2,Encorafenib 50mg capsules,Encorafenib,50mg,Capsule,Oral,08010551,Protein Kinase Inhibitors,June 2020,1
43692,4333311000001107,65740020,2,Fluconazole 150mg capsules (A A H Pharmaceuticals Ltd),Fluconazole,150mg,Capsule,Oral,05020100,Triazole Antifungals,October 2010,1
72244,34692311000001100,78188021,88,Maviret 100mg/40mg tablets (AbbVie Ltd),Glecaprevir/Pibrentasvir,100mg + 40mg,Tablet,Oral,05030302,Chronic Hepatitis C,May 2018,1
2686,196445001000027100,75266020,23932,Dilzem xl mr 240mg Modified-release capsule (Elan Pharma),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
88587,37691211000001104,89969021,0,Ciprofibrate 100mg tablets (CST Pharma Ltd),Ciprofibrate,100mg,Tablet,Oral,02120300,Fibrates,August 2023,1
1120,318205007,65396020,342453,Verapamil 80mg tablets,Verapamil hydrochloride,80mg,Tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
8104,319984007,68083020,12513,Acipimox 250mg capsules,Acipimox,250mg,Capsule,Oral,02120500,Nicotinic Acid Group,February 2009,1
