medcode,readcode,clinicalevents,immunisationevents,referralevents,testevents,readterm,databaserelease
90952,7B0F100,6,0,0,0,"Pre-transplantation of kidney work-up, recipient",February 2009
32423,G222.00,109,0,0,0,Hypertensive renal disease with renal failure,February 2009
2996,7L1A200,8658,0,88,4,Haemodialysis NEC,February 2009
97533,Gyu2100,10,0,0,0,[X]Hypertension secondary to other renal disorders,August 2009
55389,K0A0300,24,0,0,0,"Acut neph syn, diffuse mesangial prolifrative glomnephritis",February 2009
53940,Kyu2100,27,0,0,0,[X]Other chronic renal failure,February 2009
8330,K0D..00,736,0,5,0,End-stage renal disease,February 2009
57568,K100100,6,0,1,0,Chronic pyelonephritis with medullary necrosis,February 2009
63466,G23..00,76,0,0,0,Hypertensive heart and renal disease,February 2009
95146,1Z19.00,842,0,1,0,Chronic kidney disease stage 2 with proteinuria,February 2009
36125,K03U.00,41,0,3,0,"Unspecif nephr synd, diff concentric glomerulonephritis",February 2009
12479,1Z13.00,72507,0,3111,0,Chronic kidney disease stage 4,February 2009
28684,G233.00,56,0,3,0,Hypertensive heart and renal disease with renal failure,February 2009
56852,PD11z00,325,0,9,0,Polycystic kidney disease NOS,February 2009
12720,1Z1..00,25067,0,1198,0,Chronic renal impairment,February 2009
8828,14D1.00,2538,0,80,0,H/O: nephritis,February 2009
20516,K13yz11,22,0,0,0,Salt-losing nephritis,February 2009
21989,K019.00,100,0,2,0,"Nephrotic syn,diffuse mesangiocapillary glomerulonephritis",February 2009
53852,K05..12,301,0,1,0,End stage renal failure,February 2009
38312,L162.12,17,0,3,2,Nephropathy NOS in pregnancy without hypertension,February 2009
2475,C104.11,5235,0,168,1,Diabetic nephropathy,February 2009
95175,1Z1E.00,17341,0,16,0,Chronic kidney disease stage 3A without proteinuria,February 2009
72877,Pyu7000,65,0,1,0,[X]Other cystic kidney diseases,February 2009
58671,K0A5300,1,0,0,0,Heredtry nephrpthy NEC difus mesangial prolif glomnephrit,February 2009
57784,K0C2.00,21,0,0,0,Nephropathy induced by unspec drug medicament or biol subs,February 2009
60484,K0A2500,6,0,0,0,Recur+persist hmuria df mesangiocapilary glomerulonephritis,February 2009
50804,K08yz00,66,0,0,0,Other impaired renal function disorder NOS,February 2009
2939,K100600,408,0,8,0,Calculous pyelonephritis,February 2009
21297,K0A3.00,133,0,3,0,Chronic nephritic syndrome,February 2009
36205,K0A5.00,65,0,2,0,Hereditary nephropathy not elsewhere classified,February 2009
60856,K0A2700,4,0,0,0,Recur+persist haematuria difus crescentic glomerulonephritis,February 2009
5504,7B00z00,2326,0,276,0,Transplantation of kidney NOS,February 2009
62320,K0A1700,13,0,0,0,Rapid progres nephritic syn df crescentic glomerulonephritis,February 2009
31581,K0A0.00,333,0,6,0,Acute nephritic syndrome,February 2009
350,K06..00,44923,0,5003,59,Renal failure unspecified,February 2009
47922,K01x000,102,0,2,0,Nephrotic syndrome in amyloidosis,February 2009
55151,7B00000,29,0,0,0,Autotransplant of kidney,February 2009
48057,K0B5.00,25,0,0,0,Renal tubulo-interstitial disordrs in transplant rejectn,February 2009
94789,1Z17.00,239,0,3,0,Chronic kidney disease stage 1 with proteinuria,February 2009
12640,C10FC00,2534,0,73,0,Type 2 diabetes mellitus with nephropathy,February 2009
22897,D310100,1139,0,22,0,Henoch-Schonlein nephritis,February 2009
64622,K0B1.00,5,0,1,0,Renal tubulo-interstitial disorder/ neoplastic diseases,February 2009
44270,K0A5200,19,0,0,0,"Hereditry nephropathy NEC,difus membran glomerulnephritis",February 2009
96347,7A61900,32,0,0,0,Ligation of arteriovenous dialysis fistula,April 2009
59315,SP07G00,115,0,0,0,Stenosis of arteriovenous dialysis fistula,February 2009
56893,K0A3300,16,0,0,0,Chron neph syn difus mesangial prolifrtiv glomerulonephritis,February 2009
59365,C109C00,75,0,3,0,Non-insulin dependent diabetes mellitus with nephropathy,February 2009
30735,6AA..00,123917,0,16,0,Chronic kidney disease annual review,February 2009
60128,K03V.00,11,0,3,0,"Unspecified nephritic syndrome, dense deposit disease",February 2009
2471,K01x100,395,0,8,0,Nephrotic syndrome in diabetes mellitus,February 2009
20196,14V2.00,2504,0,78,0,H/O: renal dialysis,February 2009
56939,K08y000,20,0,2,0,Hypokalaemic nephropathy,February 2009
8919,K08..00,5842,0,321,1,Impaired renal function disorder,February 2009
30310,K081.00,425,0,7,0,Nephrogenic diabetes insipidus,February 2009
15097,K02z.00,260,0,7,0,Chronic glomerulonephritis NOS,February 2009
39649,G220.00,154,0,11,0,Malignant hypertensive renal disease,February 2009
31369,K042.00,33,0,3,0,Acute renal medullary necrosis,February 2009
44055,K03yz00,166,0,2,0,Other nephritis and nephrosis NOS,February 2009
20027,K00y000,55,0,5,0,Acute glomerulonephritis in diseases EC,February 2009
63000,G231.00,7,0,0,0,Benign hypertensive heart and renal disease,February 2009
45867,K035.00,35,0,0,0,Renal medullary necrosis unspecified,February 2009
58164,K033.00,49,0,0,0,Rapidly progressive nephritis unspecified,February 2009
5291,K031.00,561,0,11,0,Membranous nephritis unspecified,February 2009
17253,8L50.00,903,0,19,0,Renal transplant planned,February 2009
10460,K138.11,515,0,12,0,Renal vascular disorders,February 2009
50200,K0A1600,12,0,0,0,"Rapid progressive nephritic syndrome, dense deposit disease",February 2009
72478,Kyu1400,1,0,0,0,[X]Nephropathy induced by other drugs+biological substances,February 2009
34675,K13yz00,485,0,19,0,Other kidney and ureteric disorders NOS,February 2009
89924,7B00300,10,0,0,0,"Allotransplantation of kidney from cadaver, heart-beating",February 2009
2991,K13z.00,4741,0,954,31,Kidney and ureter disease NOS,February 2009
512,K05..00,79428,0,4875,14,Chronic renal failure,February 2009
69760,ZVu3G00,51,0,0,0,[X]Other dialysis,February 2009
12585,1Z14.00,15278,0,245,0,Chronic kidney disease stage 5,February 2009
95179,1Z16.00,13061,0,64,0,Chronic kidney disease stage 3B,February 2009
23990,K03T.00,300,0,2,0,"Tubulo-interstit nephritis, not specif as acute or chron",February 2009
54990,TB00100,95,0,2,0,"Kidney transplant with complication, without blame",February 2009
12566,1Z12.00,649563,0,2711,0,Chronic kidney disease stage 3,February 2009
67232,G230.00,16,0,0,0,Malignant hypertensive heart and renal disease,February 2009
21837,G232.00,35,0,4,0,Hypertensive heart&renal dis wth (congestive) heart failure,February 2009
95710,K10y300,13,0,0,0,Pyelonephritis in diseases EC,February 2009
47080,L162.00,32,0,2,0,Unspecified renal disease in pregnancy,February 2009
46145,ZV56011,18,0,2,0,[V]Aftercare involving renal dialysis NOS,February 2009
34637,K080z00,51,0,0,0,Renal osteodystrophy NOS,February 2009
30301,K03X.00,48,0,1,0,"Unsp nephrit synd, diff mesang prolif glomerulonephritis",February 2009
71709,Kyu0900,2,0,0,0,"[X]Unsp nephrit synd, diff mesang prolif glomerulonephritis",February 2009
54844,U612200,3,0,0,0,[X]Failure sterile precautions dur kidney dialys/other perf,February 2009
48022,7L1Ay00,7,0,1,1,Other specified compensation for renal failure,February 2009
63502,Z91A.00,9,0,1,0,Peritoneal dialysis bag procedure,February 2009
66136,K0A0100,14,0,0,0,"Acute nephritic syndrome, focal+segmental glomerular lesions",February 2009
57168,K0A3200,19,0,0,0,Chron nephritic syndrom difuse membranous glomerulonephritis,February 2009
60302,7A60600,774,0,0,0,Creation of graft fistula for dialysis,February 2009
21687,C345.00,282,0,17,0,Gout due to impairment of renal function,February 2009
34648,K080100,4,0,0,0,Renal dwarfism,February 2009
34998,K020.00,124,0,0,0,Chronic proliferative glomerulonephritis,February 2009
67197,A786.00,16,0,0,0,Haemorrhagic nephrosonephritis,February 2009
39840,K08y.00,49,0,0,0,Other impaired renal function disorder,February 2009
53944,K10y.00,263,0,0,0,Pyelonephritis and pyonephrosis unspecified,February 2009
60960,K02y.00,18,0,0,0,Other chronic glomerulonephritis,February 2009
21947,K017.00,171,0,1,0,Nephrotic syn difus mesangial prolifertiv glomerulonephritis,February 2009
67193,K032y00,52,0,1,0,Nephritis unsp+OS membranoprolif glomerulonephritis lesion,February 2009
44422,14V2.11,87,0,3,0,H/O: kidney dialysis,February 2009
26862,7B06300,295,0,15,0,Exploration of renal transplant,February 2009
94261,K00y100,3,0,0,0,Acute exudative nephritis,February 2009
63615,K02yz00,20,0,0,0,Other chronic glomerulonephritis NOS,February 2009
63488,ZV56y00,3,0,2,0,[V]Other specified aftercare involving intermittent dialysis,February 2009
41148,K0B4000,14,0,1,0,Renal tubulo-interstitial disorder in SLE,February 2009
62980,K0A5X00,5,0,0,0,"Hereditary nephropathy, unspecif morphological changes",February 2009
97734,K0A1100,4,0,0,0,Rapid progres nephritic syn focal+segmental glomerulr lesion,October 2009
24361,7B00200,865,0,4,0,Transplantation of kidney from cadaver,February 2009
97758,K02y000,3,0,0,0,Chronic glomerulonephritis + diseases EC,October 2009
49235,A160200,59,0,0,0,Tuberculous pyelonephritis,February 2009
50728,K080200,8,0,0,0,Renal infantilism,February 2009
54938,L162000,2,0,0,0,Unspecified renal disease in pregnancy unspecified,February 2009
61494,K022.00,51,0,0,0,Chronic membranoproliferative glomerulonephritis,February 2009
35107,C104z00,480,0,13,0,Diabetes mellitus with nephropathy NOS,February 2009
52272,A160000,22,0,2,0,Tuberculous nephropathy,February 2009
43935,G221.00,65,0,0,0,Benign hypertensive renal disease,February 2009
94793,1Z1B.00,4354,0,29,0,Chronic kidney disease stage 3 with proteinuria,February 2009
11554,SP15400,169,0,5,0,Renal failure as a complication of care,February 2009
18774,TB00111,300,0,8,0,"Renal transplant with complication, without blame",February 2009
41676,K034.00,72,0,1,0,Renal cortical necrosis unspecified,February 2009
64828,7L1A600,246,0,0,0,Peritoneal dialysis NEC,February 2009
12465,K032.00,246,0,7,0,Membranoproliferative nephritis unspecified,February 2009
16008,K030.00,222,0,9,0,Proliferative nephritis unspecified,February 2009
66714,TB11.11,7,0,0,0,"Renal dialysis with complication, without blame",February 2009
96819,Kyu4000,4,0,0,0,[X]Other disorders resulting/impaired renal tubular function,May 2009
40413,K0A3100,13,0,0,0,Chronic nephritic syndrm focal+segmental glomerular lesions,February 2009
48121,7B01500,372,0,1,0,Transplant nephrectomy,February 2009
57072,K032500,30,0,0,0,Other familial glomerulonephritis,February 2009
44657,K13y.00,225,0,3,0,Other kidney and ureteric disorders,February 2009
4850,K03..11,259,0,6,0,Nephritis and nephropathy unspecified,February 2009
11873,K03..12,1904,0,43,0,"Nephropathy, unspecified",February 2009
6712,K050.00,5956,0,70,1,End stage renal failure,February 2009
11553,SP08300,499,0,9,0,Kidney transplant failure and rejection,February 2009
1803,K011.00,669,0,9,0,Nephrotic syndrome with membranous glomerulonephritis,February 2009
60743,ZV56.00,19,0,4,0,[V]Aftercare involving intermittent dialysis,February 2009
34669,K03y200,208,0,4,0,Other interstitial nephritis,February 2009
20129,K00z.00,637,0,17,0,Acute glomerulonephritis NOS,February 2009
20629,PD1..11,573,0,111,0,Congenital cystic renal disease,February 2009
95123,1Z1C.00,15794,0,8,0,Chronic kidney disease stage 3 without proteinuria,February 2009
48855,K100500,39,0,0,0,Chronic obstructive pyelonephritis,February 2009
48261,K00y200,167,0,3,0,Acute focal nephritis,February 2009
2994,7L1A100,4051,0,71,3,Peritoneal dialysis,February 2009
62868,K032300,4,0,0,0,Anaphylactoid glomerulonephritis,February 2009
36342,K032y13,188,0,0,0,Mesangioproliferative glomerulonephritis NEC,February 2009
31549,7L1A.00,330,0,26,0,Compensation for renal failure,February 2009
15780,K0z..00,3393,0,714,11,"Nephritis, nephrosis and nephrotic syndrome NOS",February 2009
2088,K00..00,7001,0,84,0,Acute glomerulonephritis,February 2009
61145,C341z00,3,0,1,0,Gouty nephropathy NOS,February 2009
48111,K100z00,329,0,1,0,Chronic pyelonephritis NOS,February 2009
35065,K03y.00,61,0,0,0,Other nephritis and nephrosis unspecified,February 2009
50305,K032y11,17,0,1,0,Hypocomplementaemic persistent glomerulonephritis NEC,February 2009
97388,K032y15,7,0,0,0,Mixed membranous and proliferative glomerulonephritis NEC,August 2009
41881,K032y14,354,0,9,0,Mesangiocapillary glomerulonephritis NEC,February 2009
94373,K01y.00,7,0,0,0,Nephrotic syndrome with other pathological kidney lesions,February 2009
29634,K013.00,244,0,4,0,Nephrotic syndrome with minimal change glomerulonephritis,February 2009
22852,K015.00,309,0,24,0,"Nephrotic syndrome, focal and segmental glomerular lesions",February 2009
94842,Kyu1.00,7,0,0,0,[X]Renal tubulo-interstitial diseases,February 2009
11787,K060.00,23710,0,1078,0,Renal impairment,February 2009
29638,K080.00,263,0,3,0,Renal osteodystrophy,February 2009
41013,K08y300,19,0,1,0,Renal function impairment with growth failure,February 2009
67486,PD1y000,6,0,0,0,Fibrocystic kidney disease,February 2009
5182,K03z.00,3817,0,213,3,Unspecified glomerulonephritis NOS,February 2009
66062,K080300,19,0,0,0,Renal rickets,February 2009
98364,7B00211,9,0,0,0,Allotransplantation of kidney from cadaver,January 2010
2999,K01..00,20749,0,975,5,Nephrotic syndrome,February 2009
4669,K02y200,231,0,7,0,Chronic focal glomerulonephritis,February 2009
49150,K0y..00,70,0,0,0,"Other specified nephritis, nephrosis or nephrotic syndrome",February 2009
15106,G22z.00,396,0,13,0,Hypertensive renal disease NOS,February 2009
