medcode	readcode	readterm	status	label
10211	13p..00	Smoking cessation milestones	2	Current smoker
34126	13p0.00	Negotiated date for cessation of smoking	2	Current smoker
34127	13p1.00	Smoking status at 4 weeks	2	Current smoker
34374	13p2.00	Smoking status between 4 and 52 weeks	2	Current smoker
41405	13p3.00	Smoking status at 52 weeks	2	Current smoker
10898	13p4.00	Smoking free weeks	2	Current smoker
38112	13p5.00	Smoking cessation programme start date	2	Current smoker
28886	13p6.00	Carbon monoxide reading at 4 weeks	2	Current smoker
52503	13WK.00	No smokers in the household	0	Non-smoker
97643	38DH.00	Fagerstrom test for nicotine dependence	2	Current smoker
10184	67A3.00	Pregnancy smoking advice	2	Current smoker
98137	67H6.00	Brief intervention for smoking cessation	2	Current smoker
74907	745H.00	Smoking cessation therapy	2	Current smoker
81440	745H000	Nicotine replacement therapy using nicotine patches	2	Current smoker
85975	745H100	Nicotine replacement therapy using nicotine gum	2	Current smoker
85247	745H200	Nicotine replacement therapy using nicotine inhalator	2	Current smoker
89464	745H300	Nicotine replacement therapy using nicotine lozenges	2	Current smoker
94958	745H400	Smoking cessation drug therapy	2	Current smoker
91708	745Hy00	Other specified smoking cessation therapy	2	Current smoker
90522	745Hz00	Smoking cessation therapy NOS	2	Current smoker
9833	8B2B.00	Nicotine replacement therapy	2	Current smoker
25106	8B3f.00	Nicotine replacement therapy provided free	2	Current smoker
32572	8B3Y.00	Over the counter nicotine replacement therapy	2	Current smoker
67178	8BP3.00	Nicotine replacement therapy provided by community pharmacis	2	Current smoker
41042	8CAg.00	Smoking cessation advice provided by community pharmacist	2	Current smoker
7622	8CAL.00	Smoking cessation advice	2	Current smoker
18573	8H7i.00	Referral to smoking cessation advisor	2	Current smoker
98245	8HBM.00	Stop smoking face to face follow-up	2	Current smoker
98154	8HkQ.00	Referral to NHS stop smoking service	2	Current smoker
10742	8HTK.00	Referral to stop-smoking clinic	2	Current smoker
66409	8I2I.00	Nicotine replacement therapy contraindicated	2	Current smoker
63717	8I2J.00	Bupropion contraindicated	2	Current smoker
24529	8I39.00	Nicotine replacement therapy refused	2	Current smoker
57639	8I3M.00	Bupropion refused	2	Current smoker
96992	9kc..00	Smoking cessation - enhanced services administration	2	Current smoker
98493	9kc0.00	Smoking cessatn monitor template complet - enhanc serv admin	2	Current smoker
98447	9km..00	Ex-smoker annual review - enhanced services administration	1	Ex-smoker
98177	9kn..00	Non-smoker annual review - enhanced services administration	0	Non-smoker
98347	9ko..00	Current smoker annual review - enhanced services admin	2	Current smoker
11356	9N2k.00	Seen by smoking cessation advisor	2	Current smoker
11527	9N4M.00	DNA - Did not attend smoking cessation clinic	2	Current smoker
28834	9OO..00	Anti-smoking monitoring admin.	2	Current smoker
32083	9OO..11	Stop smoking clinic admin.	2	Current smoker
7130	9OO..12	Stop smoking monitoring admin.	2	Current smoker
12953	9OO1.00	Attends stop smoking monitor.	2	Current smoker
40418	9OO2.00	Refuses stop smoking monitor	2	Current smoker
40417	9OO3.00	Stop smoking monitor default	2	Current smoker
42722	9OO4.00	Stop smoking monitor 1st lettr	2	Current smoker
60720	9OO5.00	Stop smoking monitor 2nd lettr	2	Current smoker
66387	9OO6.00	Stop smoking monitor 3rd lettr	2	Current smoker
53101	9OO7.00	Stop smoking monitor verb.inv.	2	Current smoker
58597	9OO8.00	Stop smoking monitor phone inv	2	Current smoker
63901	9OO9.00	Stop smoking monitoring delete	2	Current smoker
19485	9OOA.00	Stop smoking monitor.chck done	2	Current smoker
21637	9OOZ.00	Stop smoking monitor admin.NOS	2	Current smoker
6359	E023.00	Nicotine withdrawal	2	Current smoker
32687	E251.00	Tobacco dependence	2	Current smoker
95610	E251000	Tobacco dependence, unspecified	2	Current smoker
70746	E251100	Tobacco dependence, continuous	2	Current smoker
72706	E251300	Tobacco dependence in remission	1	Ex-smoker
68658	E251z00	Tobacco dependence NOS	2	Current smoker
61905	Eu17.00	[X]Mental and behavioural disorder due to use of tobacco	2	Current smoker
56144	Eu17100	[X]Mental and behav dis due to use of tobacco: harmful use	2	Current smoker
16717	H310100	Smokers' cough	2	Current smoker
9045	ZG23300	Advice on smoking	2	Current smoker
47273	ZRaM.00	Motives for smoking scale	2	Current smoker
91513	ZRao.00	Occasions for smoking scale	2	Current smoker
63666	ZRBm200	Fagerstrom test for nicotine dependence	2	Current smoker
63299	ZRBm211	FTND - Fagerstrom test for nicotine dependence	2	Current smoker
59866	ZRh4.00	Reasons for smoking scale	2	Current smoker
49418	ZRh4.11	RFS - Reasons for smoking scale	2	Current smoker
72700	ZV11600	[V]Personal history of tobacco abuse	2	Current smoker
12954	ZV4K000	[V]Tobacco use	2	Current smoker
35055	ZV6D800	[V]Tobacco abuse counselling	2	Current smoker
